cell_line	network
ACH-001067	leptomeningeal_cell
ACH-001075	lung
ACH-001081	colon
ACH-001096	muscle_cell
ACH-001098	pancreas
ACH-001099	kidney
ACH-001107	pancreas
ACH-001111	lymphoid_system
ACH-001119	lymphoid_system
ACH-001126	glial_cell
ACH-001128	kidney
ACH-001129	myeloid_cell
ACH-001134	lymphoid_system
ACH-001137	lung
ACH-001145	ovary
ACH-001151	ovary
ACH-001163	kidney
ACH-001164	mesenchymal_cell
ACH-001172	glial_cell
ACH-001183	urothelium
ACH-001184	muscle_cell
ACH-001188	adrenal_gland
ACH-001190	skin_of_body
ACH-001192	mesenchymal_cell
ACH-001193	mesenchymal_cell
ACH-001194	kidney
ACH-001196	muscle_cell
ACH-001197	lymphoid_system
ACH-001205	mesenchymal_cell
ACH-001211	kidney
ACH-001227	mouth
ACH-001228	mouth
ACH-001229	mouth
ACH-001232	embryo
ACH-001233	lung
ACH-001239	skin_of_body
ACH-001270	synovial_cell
ACH-001274	synovial_cell
ACH-001275	osteoblast
ACH-001277	synovial_cell
ACH-001278	ovary
ACH-001279	ovary
ACH-001280	synovial_cell
ACH-001283	mesenchymal_cell
ACH-001289	embryo
ACH-001295	retina
ACH-001300	adrenal_gland
ACH-001301	adrenal_gland
ACH-001302	adrenal_gland
ACH-001303	adrenal_gland
ACH-001306	thyroid_gland
ACH-001307	thyroid_gland
ACH-001310	kidney
ACH-001318	liver
ACH-001322	synovial_cell
ACH-001328	skin_of_body
ACH-001329	glial_cell
ACH-001331	mouth
ACH-001332	mouth
ACH-001333	uterine_cervix
ACH-001334	uterine_cervix
ACH-001335	uterine_cervix
ACH-001336	uterine_cervix
ACH-001338	adrenal_gland
ACH-001340	ovary
ACH-001341	uterine_cervix
ACH-001344	adrenal_gland
ACH-001345	colon
ACH-001346	mouth
ACH-001347	mouth
ACH-001353	pancreas
ACH-001354	adrenal_gland
ACH-001356	thyroid_gland
ACH-001360	uterine_cervix
ACH-001366	adrenal_gland
ACH-001367	adrenal_gland
ACH-001368	stomach
ACH-001370	ovary
ACH-001374	ovary
ACH-001375	pancreas
ACH-001377	pancreas
ACH-001379	pancreas
ACH-001380	pancreas
ACH-001382	pancreas
ACH-001385	mouth
ACH-001386	lung
ACH-001388	mammary_gland
ACH-001389	mammary_gland
ACH-001390	mammary_gland
ACH-001391	mammary_gland
ACH-001392	mammary_gland
ACH-001393	mammary_gland
ACH-001394	mammary_gland
ACH-001396	mammary_gland
ACH-001398	kidney
ACH-001399	colon
ACH-001400	female_reproductive_organ
ACH-001401	adrenal_gland
ACH-001402	uterine_cervix
ACH-001403	ovary
ACH-001407	urothelium
ACH-001408	urinary_bladder
ACH-001409	urothelium
ACH-001411	urinary_bladder
ACH-001412	urothelium
ACH-001413	urothelium
ACH-001414	urothelium
ACH-001415	urothelium
ACH-001416	urothelium
ACH-001418	ovary
ACH-001419	mammary_gland
ACH-001421	retina
ACH-001422	prostate_gland
ACH-001430	mesenchymal_cell
ACH-001431	mesenchymal_cell
ACH-001433	mesenchymal_cell
ACH-001436	testis
ACH-001442	skin_of_body
ACH-001443	thyroid_gland
ACH-001450	lymphoid_system
ACH-001451	uterine_cervix
ACH-001453	prostate_gland
ACH-001454	colon
ACH-001458	colon
ACH-001459	colon
ACH-001460	colon
ACH-001461	colon
ACH-001481	adrenal_gland
ACH-001484	lymphoid_system
ACH-001494	liver
ACH-001495	uterus
ACH-001496	stomach
ACH-001497	stomach
ACH-001498	lymphoid_system
ACH-001500	stomach
ACH-001502	testis
ACH-001508	mouth
ACH-001509	mouth
ACH-001510	mouth
ACH-001511	mouth
ACH-001513	endocervix
ACH-001515	uterine_cervix
ACH-001517	uterus
ACH-001518	uterus
ACH-001520	lymphoid_system
ACH-001521	skin_of_body
ACH-001522	skin_of_body
ACH-001523	skin_of_body
ACH-001524	skin_of_body
ACH-001525	endocervix
ACH-001526	osteoblast
ACH-001528	thyroid_gland
ACH-001529	placenta
ACH-001530	placenta
ACH-001532	kidney
ACH-001533	lymphoid_system
ACH-001536	liver
ACH-001538	liver
ACH-001539	lymphoid_system
ACH-001542	mouth
ACH-001543	mouth
ACH-001544	stomach
ACH-001547	respiratory_system
ACH-001548	adrenal_gland
ACH-001549	lung
ACH-001550	skin_of_body
ACH-001551	skin_of_body
ACH-001552	skin_of_body
ACH-001554	eye
ACH-001555	respiratory_system
ACH-001556	respiratory_system
ACH-001557	respiratory_system
ACH-001558	respiratory_system
ACH-001559	respiratory_system
ACH-001560	respiratory_system
ACH-001562	respiratory_system
ACH-001563	skin_of_body
ACH-001566	skin_of_body
ACH-001567	skin_of_body
ACH-001568	skin_of_body
ACH-001570	skin_of_body
ACH-001574	myeloid_cell
ACH-001577	myeloid_cell
ACH-001578	testis
ACH-001603	adrenal_gland
ACH-001605	glial_cell
ACH-001606	glial_cell
ACH-001607	digestive_system
ACH-001608	glial_cell
ACH-001609	glial_cell
ACH-001610	glial_cell
ACH-001611	glial_cell
ACH-001613	myeloid_cell
ACH-001616	lymphoid_system
ACH-001618	myeloid_cell
ACH-001619	digestive_system
ACH-001622	glial_cell
ACH-001623	glial_cell
ACH-001624	glial_cell
ACH-001625	mouth
ACH-001626	mouth
ACH-001627	prostate_gland
ACH-001628	ovary
ACH-001630	ovary
ACH-001632	ovary
ACH-001634	lymphoid_system
ACH-001639	lymphoid_system
ACH-001641	mouth
ACH-001642	lymphoid_system
ACH-001643	mesenchymal_cell
ACH-001645	skin_of_body
ACH-001647	myeloid_cell
ACH-001648	prostate_gland
ACH-001649	prostate_gland
ACH-001650	endocervix
ACH-001651	uterine_cervix
ACH-001652	uterine_cervix
ACH-001653	stomach
ACH-001654	stomach
ACH-001655	uterus
ACH-001656	myeloid_cell
ACH-001662	mammary_gland
ACH-001664	stomach
ACH-001668	testis
ACH-001669	lymphoid_system
ACH-001670	embryo
ACH-001673	liver
ACH-001674	adrenal_gland
ACH-001675	mouth
ACH-001676	mouth
ACH-001677	lymphoid_system
ACH-001683	mammary_gland
ACH-001685	lymphoid_system
ACH-001687	kidney
ACH-001688	kidney
ACH-001690	mouth
ACH-001691	mouth
ACH-001692	mouth
ACH-001694	mouth
ACH-001695	mouth
ACH-001696	mouth
ACH-001698	mouth
ACH-001699	mouth
ACH-001701	mouth
ACH-001702	mesenchymal_cell
ACH-001707	lymphoid_system
ACH-001709	lymphoid_system
ACH-001711	embryo
ACH-001715	osteoblast
ACH-001719	ovary
ACH-001735	lymphoid_system
ACH-001736	lymphoid_system
ACH-001737	lymphoid_system
ACH-001740	muscle_cell
ACH-001745	muscle_cell
ACH-001750	muscle_cell
ACH-001765	muscle_cell
ACH-001786	colon
ACH-001791	fat_cell
ACH-001793	fat_cell
ACH-001794	fat_cell
ACH-001795	fat_cell
ACH-001796	fat_cell
ACH-001799	fat_cell
ACH-001802	fat_cell
ACH-001804	fat_cell
ACH-001814	osteoblast
ACH-001819	mammary_gland
ACH-001820	mammary_gland
ACH-001834	liver
ACH-001835	liver
ACH-001836	liver
ACH-001838	liver
ACH-001839	liver
ACH-001841	liver
ACH-001842	liver
ACH-001843	liver
ACH-001844	liver
ACH-001848	liver
ACH-001849	liver
ACH-001850	digestive_system
ACH-001852	liver
ACH-001853	hepatocyte
ACH-001856	liver
ACH-001857	liver
ACH-001858	liver
ACH-001861	digestive_system
ACH-001862	small_intestine
ACH-001863	liver
ACH-001864	liver
ACH-001959	liver
ACH-001960	liver
ACH-001961	digestive_system
ACH-001970	skin_of_body
ACH-001972	skin_of_body
ACH-001973	skin_of_body
ACH-001975	skin_of_body
ACH-001977	respiratory_system
ACH-001982	skin_of_body
ACH-001986	skin_of_body
ACH-001990	skin_of_body
ACH-001991	ovary
ACH-001992	respiratory_system
ACH-001993	lymphoid_system
ACH-001997	small_intestine
ACH-001999	pancreas
ACH-002001	skin_of_body
